Country ID,Country Name,Region,World Rank,Region Rank,2023 Score,2023 Score Range,Change from 2022,Property Rights,Judical Effectiveness,Govt Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,2022 Score,2022 Score Range
1,Afghanistan,Asia-Pacific,0,0,0.00,0-19.9,0.00,5.8,5.4,12.7,0,0,0,34.6,45.1,0,0,0,0,0,0-19.9
2,Albania,Europe,49,27,65.38,60-69.9,-1.22,55.9,49.2,35.5,89.1,71,58.2,70.7,49.7,81.3,82.8,70,70,66.6,60-69.9
3,Algeria,Middle East and North Africa,168,13,43.37,40-49.9,-2.43,27.8,29.5,28.4,71.9,50.7,12.1,53.6,51.4,75.1,57.5,30,30,45.8,40-49.9
4,Angola,Sub-Saharan Africa,130,26,53.01,50-59.9,0.409999999999997,41.1,24.8,22.9,86.5,86.9,85.1,41.6,53.9,58.9,64.8,30,40,52.6,50-59.9
5,Argentina,Americas,144,27,50.92,50-59.9,0.82,34.6,56.8,42.8,66.9,53.9,33.6,55.5,55.1,36.5,61.2,55,60,50.1,50-59.9
6,Armenia,Europe,50,28,65.12,60-69.9,-0.179999999999993,50.3,31.5,51.6,87.5,76.3,71.4,64.9,58.7,70.5,73.6,75,70,65.3,60-69.9
7,Australia,Asia-Pacific,13,4,74.98,70-79.9,-2.72,90.7,94.9,83.2,63.1,47,24.8,88.3,64.7,80.5,89.8,80,90,77.7,70-79.9
8,Austria,Europe,23,16,71.26,70-79.9,-2.53999999999999,97,95.2,80.9,45.7,13,54.5,78.5,78.8,80.4,78.6,80,70,73.8,70-79.9
9,Azerbaijan,Europe,75,37,61.38,60-69.9,-0.219999999999999,51.7,15.9,26.9,87.3,63,98.6,68.3,55.8,70.3,68.6,70,60,61.6,60-69.9
10,Bahrain,Middle East and North Africa,68,4,62.49,60-69.9,0.490000000000002,65.4,28.1,40.4,99.9,66.3,0,64,53.6,83.5,84.2,85,80,62,60-69.9
11,Bangladesh,Asia-Pacific,123,26,54.29,50-59.9,1.59,36.8,28,22.5,82.1,94.7,63.4,56.7,46.8,70.1,62,50,40,52.7,50-59.9
12,Barbados,Americas,29,5,69.91,60-69.9,-1.39,71.9,86.9,68.4,79.2,69.7,73.9,68.5,62.6,78.8,57.6,60,60,71.3,70-79.9
13,Belarus,Europe,145,44,51.13,50-59.9,-1.87,31.2,11.1,38.9,89.9,57.8,94.3,53.7,47.1,66.9,70.8,30,20,53,50-59.9
