,CAN,BRA,SWZ,UKD,JPN,IND,SAF,TKY,MEX,POL,GER
power_index,0.3956,0.2151,0.7191,0.1435,0.1711,0.1025,0.4885,0.2016,0.4687,0.3406,0.3881
currency_value_in_usd,0.7363,0.2005,1.1039,1.2622,0.66115,0.012,0.05286,0.031,0.06025,0.2505,1.0816
delta_percent,0.03,-0.15,-0.23,-0.02,0.22,-0.05,0.08,-0.21,0.48,-0.53,-0.13
recommendation,3.0,1.0,1.0,3.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0
buy,10.0,1.0,2.0,7.0,16.0,3.0,10.0,0.0,21.0,0.0,0.0
neutr,2.0,1.0,0.0,7.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0
sell,9.0,18.0,21.0,9.0,6.0,15.0,9.0,16.0,0.0,22.0,21.0
happiness_score,6.961,6.125,7.24,6.796,6.129,4.036,5.275,4.614,6.33,6.26,6.892
economy_score,73.89,53.48,83.84,70.15,69.34,53.01,55.78,56.93,63.23,67.78,73.92
human_development_index_growth,0.25,0.38,0.19,0.17,0.27,0.88,0.5,1.03,0.15,0.37,0.16
IMF_Forecast_GDP,2378973.0,4101022.0,788335.0,3871790.0,6495214.0,13119622.0,997444.0,3613540.0,3277601.0,1712629.0,5537992.0
World_Bank_Forecast_GDP,2273489.0,3837261.0,733137.0,3656809.0,5702287.0,11874583.0,952603.0,3180984.0,2742903.0,1625236.0,5309606.0
CIA_Forecast_GDP,1742790.0,2989430.0,590710.0,2797980.0,5224850.0,8443360.0,680040.0,2393960.0,2306320.0,1223460.0,4238800.0
population_growth,0.85,0.52,0.64,0.34,-0.53,0.81,0.87,0.56,0.75,2.93,-0.09
