,CAN,AUS,SWZ,UKD,JPN,NWZ,SAF,TKY,MEX,POL
power_index,0.3956,0.2567,0.7191,0.1435,0.1711,2.0617,0.4885,0.2016,0.4687,0.3406
value,0.7357,0.653,1.1137,1.2622,0.66095,0.6006,0.05278,0.0311,0.05968,0.251
delta_perc,0.1,0.25,-0.06,0.17,0.13,0.23,0.41,-0.39,0.02,0.38
recommendation,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0
buy,13.0,11.0,10.0,14.0,10.0,11.0,10.0,12.0,4.0,14.0
neutr,1.0,2.0,5.0,0.0,4.0,3.0,5.0,0.0,3.0,0.0
sell,7.0,10.0,8.0,7.0,9.0,8.0,8.0,8.0,15.0,8.0
happiness_score,6.961,7.095,7.24,6.796,6.129,7.123,5.275,4.614,6.33,6.26
economy_score,73.89,74.98,83.84,70.15,69.34,79.06,55.78,56.93,63.23,67.78
human_development_index_growth,0.25,,0.19,0.17,0.27,,0.5,,0.15,0.37
IMF_Forecast_GDP,2378973.0,,788335.0,3871790.0,6495214.0,,997444.0,,3277601.0,1712629.0
World_Bank_Forecast_GDP,2273489.0,,733137.0,3656809.0,5702287.0,,952603.0,,2742903.0,1625236.0
CIA_Forecast_GDP,1742790.0,,590710.0,2797980.0,5224850.0,,680040.0,,2306320.0,1223460.0
population_growth,0.85,,0.64,0.34,-0.53,,0.87,,0.75,2.93
